label,Overall,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
N,"131,829","27,800","35,845","14,444","31,786","21,954"
"Age, mean (SD)",61.8 (17.3),60.4 (17.8),66.0 (16.5),65.4 (16.2),59.5 (17.7),57.6 (16.4)
"Charlson score, mean (SD)",3.7 (3.1),4.0 (3.4),4.1 (3.1),3.7 (3.1),3.4 (3.0),3.3 (2.8)
"SOFA total, mean (SD)",7.4 (4.6),5.1 (3.7),5.3 (3.6),5.1 (3.1),10.4 (3.8),11.3 (4.0)
"PM₂.₅ 5-year exposure, mean (SD)",7.8 (0.9),7.8 (0.9),7.7 (0.9),7.7 (0.9),7.8 (0.9),7.7 (0.9)
"NO₂ 5-year exposure, mean (SD)",7.6 (3.1),7.5 (3.1),7.6 (3.0),7.4 (3.0),7.6 (3.0),7.7 (3.2)
"ICU LOS (hours), mean (SD)",195.5 (322.6),83.8 (150.0),125.0 (234.1),195.6 (261.6),259.5 (337.9),367.2 (481.1)
"IMV hours in first 72h, mean (SD)",11.2 (16.7),2.4 (4.5),1.7 (4.4),1.0 (3.8),23.4 (17.2),27.8 (19.7)
"Male sex, n (%)","69,852 (55.1%)","15,644 (56.3%)","18,701 (52.2%)","7,886 (54.6%)","18,024 (56.7%)","12,632 (57.5%)"
"White race, n (%)","66,772 (52.7%)","14,646 (52.7%)","21,295 (59.4%)","8,583 (59.4%)","15,199 (47.8%)","11,547 (52.6%)"
"Black race, n (%)","42,804 (33.8%)","10,043 (36.1%)","10,354 (28.9%)","3,800 (26.3%)","11,853 (37.3%)","7,056 (32.1%)"
"Hispanic ethnicity, n (%)","7,342 (5.8%)","1,359 (4.9%)","1,705 (4.8%)","1,019 (7.1%)","1,936 (6.1%)","1,435 (6.5%)"
"Advanced cancer, n (%)","20,547 (16.2%)","5,444 (19.6%)","6,933 (19.3%)","2,704 (18.7%)","3,950 (12.4%)","2,155 (9.8%)"
"In-hospital death, n (%)","27,800 (21.9%)","1,768 (6.4%)","3,956 (11.0%)","3,775 (26.1%)","12,192 (38.4%)","7,221 (32.9%)"
"Hospice discharge, n (%)","6,370 (5.0%)","1,088 (3.9%)","2,397 (6.7%)",967 (6.7%),"1,546 (4.9%)",591 (2.7%)
"Death or hospice, n (%)","34,170 (27.0%)","2,856 (10.3%)","6,353 (17.7%)","4,742 (32.8%)","13,738 (43.2%)","7,812 (35.6%)"
